Season	Week	Team	Elo	IsPlayoff
2018	6	Ritz	1578.69	0
2018	6	Simi	1531.83	0
2018	6	Tommy	1521.22	0
2018	7	Benni	1561.11	0
2018	7	Erik	1447.99	0
2018	7	Juschka	1479.88	0
2018	7	Kessi	1393.24	0
2018	7	Marv	1465.63	0
2018	7	Ritz	1592.19	0
2018	7	Simi	1520.92	0
2018	7	Tommy	1539.05	0
2018	8	Benni	1575.23	0
2018	8	Erik	1469.00	0
2018	8	Juschka	1465.75	0
2018	8	Kessi	1383.58	0
2018	8	Marv	1444.61	0
2018	8	Ritz	1601.84	0
2018	8	Simi	1541.96	0
2018	8	Tommy	1518.01	0
2018	9	Benni	1593.32	0
2018	9	Erik	1462.21	0
2018	9	Juschka	1472.54	0
2018	9	Kessi	1371.33	0
2018	9	Marv	1456.87	0
2018	9	Ritz	1606.40	0
2018	9	Simi	1523.87	0
2018	9	Tommy	1513.46	0
2018	10	Benni	1606.12	0
2018	10	Erik	1449.42	0
2018	10	Juschka	1464.21	0
2018	10	Kessi	1365.73	0
2018	10	Marv	1480.68	0
2018	10	Ritz	1614.73	0
2018	10	Simi	1500.06	0
2018	10	Tommy	1519.05	0
2018	11	Benni	1593.99	0
2018	11	Erik	1472.32	0
2018	11	Juschka	1478.68	0
2018	11	Kessi	1351.26	0
2018	11	Marv	1490.53	0
2018	11	Ritz	1604.87	0
2018	11	Simi	1477.17	0
2018	11	Tommy	1531.18	0
2018	12	Benni	1600.31	0
2018	12	Erik	1469.14	0
2018	12	Juschka	1496.81	0
2018	12	Kessi	1346.60	0
2018	12	Marv	1484.22	0
2018	12	Ritz	1608.05	0
2018	12	Simi	1481.83	0
2018	12	Tommy	1513.05	0
2018	13	Benni	1607.84	0
2018	13	Erik	1491.65	0
2018	13	Juschka	1485.15	0
2018	13	Kessi	1339.06	0
2018	13	Marv	1495.88	0
2018	13	Ritz	1611.31	0
2018	13	Simi	1478.57	0
2018	13	Tommy	1490.54	0
2018	14	Benni	1602.89	0
2018	14	Erik	1502.30	0
2018	14	Juschka	1504.77	0
2018	14	Kessi	1328.41	0
2018	14	Marv	1476.64	0
2018	14	Ritz	1616.26	0
2018	14	Simi	1458.95	0
2018	14	Tommy	1509.77	0
2018	15	Benni	1593.66	1
2018	15	Erik	1508.87	1
2018	15	Juschka	1514.00	1
2018	15	Kessi	1324.79	1
2018	15	Marv	1480.27	1
2018	15	Ritz	1609.13	1
2018	15	Simi	1452.38	1
2018	15	Tommy	1516.91	1
2018	16	Benni	1580.74	1
2018	16	Erik	1529.06	1
2018	16	Juschka	1492.18	1
2018	16	Kessi	1332.76	1
2018	16	Marv	1460.08	1
2018	16	Ritz	1622.05	1
2018	16	Simi	1444.41	1
2018	16	Tommy	1538.73	1
2019	1	Benni	1548.17	0
2019	1	Erik	1528.77	0
2019	1	Juschka	1515.19	0
2019	1	Kessi	1386.96	0
2019	1	Marv	1496.78	0
2019	1	Ritz	1564.81	0
2019	1	Simi	1451.33	0
2019	1	Tommy	1507.99	0
2019	2	Benni	1553.41	0
2019	2	Erik	1546.93	0
2019	2	Juschka	1491.56	0
2019	2	Kessi	1380.08	0
2019	2	Marv	1478.62	0
2019	2	Ritz	1559.57	0
2019	2	Simi	1474.97	0
2019	2	Tommy	1514.87	0
2019	3	Benni	1536.83	0
2019	3	Erik	1567.66	0
2019	3	Juschka	1481.39	0
2019	3	Kessi	1390.24	0
2019	3	Marv	1498.41	0
2019	3	Ritz	1538.85	0
2019	3	Simi	1455.18	0
2019	3	Tommy	1531.44	0
2019	4	Benni	1554.63	0
2019	4	Erik	1570.31	0
2019	4	Juschka	1496.56	0
2019	4	Kessi	1387.59	0
2019	4	Marv	1480.61	0
2019	4	Ritz	1523.68	0
2019	4	Simi	1439.50	0
2019	4	Tommy	1547.12	0
2019	5	Benni	1541.94	0
2019	5	Erik	1583.00	0
2019	5	Juschka	1475.67	0
2019	5	Kessi	1371.60	0
2019	5	Marv	1501.50	0
2019	5	Ritz	1513.86	0
2019	5	Simi	1455.49	0
2019	5	Tommy	1556.94	0
2019	6	Benni	1557.06	0
2019	6	Erik	1597.01	0
2019	6	Juschka	1461.66	0
2019	6	Kessi	1359.36	0
2019	6	Marv	1513.96	0
2019	6	Ritz	1526.10	0
2019	6	Simi	1440.37	0
2019	6	Tommy	1544.48	0
2019	7	Benni	1550.72	0
2019	7	Erik	1601.26	0
2019	7	Juschka	1468.00	0
2019	7	Kessi	1347.71	0
2019	7	Marv	1525.60	0
2019	7	Ritz	1501.26	0
2019	7	Simi	1465.21	0
2019	7	Tommy	1540.23	0
2019	8	Benni	1564.18	0
2019	8	Erik	1615.66	0
2019	8	Juschka	1451.29	0
2019	8	Kessi	1360.68	0
2019	8	Marv	1542.32	0
2019	8	Ritz	1486.87	0
2019	8	Simi	1451.75	0
2019	8	Tommy	1527.26	0
2019	9	Benni	1557.61	0
2019	9	Erik	1591.50	0
2019	9	Juschka	1468.46	0
2019	9	Kessi	1356.96	0
2019	9	Marv	1566.48	0
2019	9	Ritz	1469.70	0
2019	9	Simi	1455.47	0
2019	9	Tommy	1533.84	0
2019	10	Benni	1570.84	0
2019	10	Erik	1604.04	0
2019	10	Juschka	1455.22	0
2019	10	Kessi	1347.75	0
2019	10	Marv	1575.69	0
2019	10	Ritz	1485.90	0
2019	10	Simi	1442.92	0
2019	10	Tommy	1517.64	0
2019	11	Benni	1552.75	0
2019	11	Erik	1622.14	0
2019	11	Juschka	1448.72	0
2019	11	Kessi	1354.24	0
2019	11	Marv	1552.49	0
2019	11	Ritz	1509.10	0
2019	11	Simi	1427.16	0
2019	11	Tommy	1533.40	0
2019	12	Benni	1569.44	0
2019	12	Erik	1634.45	0
2019	12	Juschka	1429.98	0
2019	12	Kessi	1349.43	0
2019	12	Marv	1535.80	0
2019	12	Ritz	1513.91	0
2019	12	Simi	1445.90	0
2019	12	Tommy	1521.09	0
2019	13	Benni	1578.23	0
2019	13	Erik	1612.99	0
2019	13	Juschka	1451.44	0
2019	13	Kessi	1340.64	0
2019	13	Marv	1554.96	0
2019	13	Ritz	1507.94	0
2019	13	Simi	1451.86	0
2019	13	Tommy	1501.94	0
2019	14	Benni	1554.24	0
2019	14	Erik	1579.89	0
2019	14	Juschka	1461.04	0
2019	14	Kessi	1373.74	0
2019	14	Marv	1568.77	0
2019	14	Ritz	1531.93	0
2019	14	Simi	1438.05	0
2019	14	Tommy	1492.34	0
2019	15	Benni	1548.97	1
2019	15	Erik	1596.46	1
2019	15	Juschka	1433.62	1
2019	15	Kessi	1401.15	1
2019	15	Marv	1574.04	1
2019	15	Ritz	1518.81	1
2019	15	Simi	1451.17	1
2019	15	Tommy	1475.77	1
2019	16	Benni	1526.30	1
2019	16	Erik	1582.07	1
2019	16	Juschka	1446.11	1
2019	16	Kessi	1382.30	1
2019	16	Marv	1588.43	1
2019	16	Ritz	1506.32	1
2019	16	Simi	1470.03	1
2019	16	Tommy	1498.44	1
2020	1	Benni	1535.62	0
2020	1	Erik	1565.13	0
2020	1	Juschka	1456.01	0
2020	1	Kessi	1436.64	0
2020	1	Marv	1576.76	0
2020	1	Ritz	1494.30	0
2020	1	Simi	1461.63	0
2020	1	Tommy	1473.92	0
2020	2	Benni	1521.31	0
2020	2	Erik	1579.34	0
2020	2	Juschka	1445.01	0
2020	2	Kessi	1450.95	0
2020	2	Marv	1587.75	0
2020	2	Ritz	1513.13	0
2020	2	Simi	1447.41	0
2020	2	Tommy	1455.09	0
2020	3	Benni	1531.72	0
2020	3	Erik	1568.92	0
2020	3	Juschka	1468.88	0
2020	3	Kessi	1444.33	0
2020	3	Marv	1594.37	0
2020	3	Ritz	1489.26	0
2020	3	Simi	1463.76	0
2020	3	Tommy	1438.75	0
2020	4	Benni	1525.42	0
2020	4	Erik	1554.54	0
2020	4	Juschka	1485.58	0
2020	4	Kessi	1427.63	0
2020	4	Marv	1607.19	0
2020	4	Ritz	1503.64	0
2020	4	Simi	1450.94	0
2020	4	Tommy	1445.05	0
2020	5	Benni	1511.70	0
2020	5	Erik	1568.44	0
2020	5	Juschka	1503.60	0
2020	5	Kessi	1451.14	0
2020	5	Marv	1620.91	0
2020	5	Ritz	1480.13	0
2020	5	Simi	1432.93	0
2020	5	Tommy	1431.16	0
2020	6	Benni	1529.89	0
2020	6	Erik	1558.92	0
2020	6	Juschka	1513.22	0
2020	6	Kessi	1435.17	0
2020	6	Marv	1630.42	0
2020	6	Ritz	1461.95	0
2020	6	Simi	1448.91	0
2020	6	Tommy	1421.53	0
2020	7	Benni	1548.93	0
2020	7	Erik	1532.09	0
2020	7	Juschka	1494.18	0
2020	7	Kessi	1462.00	0
2020	7	Marv	1632.81	0
2020	7	Ritz	1452.26	0
2020	7	Simi	1458.59	0
2020	7	Tommy	1419.14	0
2020	8	Benni	1533.67	0
2020	8	Erik	1507.92	0
2020	8	Juschka	1512.33	0
2020	8	Kessi	1443.85	0
2020	8	Marv	1648.08	0
2020	8	Ritz	1456.79	0
2020	8	Simi	1482.76	0
2020	8	Tommy	1414.61	0
2020	9	Benni	1527.99	0
2020	9	Erik	1513.59	0
2020	9	Juschka	1527.74	0
2020	9	Kessi	1464.28	0
2020	9	Marv	1656.35	0
2020	9	Ritz	1441.38	0
2020	9	Simi	1462.34	0
2020	9	Tommy	1406.34	0
2020	10	Benni	1505.90	0
2020	10	Erik	1494.40	0
2020	10	Juschka	1546.93	0
2020	10	Kessi	1459.42	0
2020	10	Marv	1661.20	0
2020	10	Ritz	1463.47	0
2020	10	Simi	1455.64	0
2020	10	Tommy	1413.03	0
2020	11	Benni	1516.63	0
2020	11	Erik	1472.40	0
2020	11	Juschka	1561.79	0
2020	11	Kessi	1481.43	0
2020	11	Marv	1670.91	0
2020	11	Ritz	1453.77	0
2020	11	Simi	1440.78	0
2020	11	Tommy	1402.30	0
2020	12	Benni	1539.21	0
2020	12	Erik	1453.65	0
2020	12	Juschka	1539.20	0
2020	12	Kessi	1468.25	0
2020	12	Marv	1675.03	0
2020	12	Ritz	1466.95	0
2020	12	Simi	1436.66	0
2020	12	Tommy	1421.05	0
2020	13	Benni	1550.95	0
2020	13	Erik	1441.11	0
2020	13	Juschka	1566.65	0
2020	13	Kessi	1485.54	0
2020	13	Marv	1647.58	0
2020	13	Ritz	1479.49	0
2020	13	Simi	1424.92	0
2020	13	Tommy	1403.75	0
2020	14	Benni	1567.23	0
2020	14	Erik	1471.63	0
2020	14	Juschka	1548.36	0
2020	14	Kessi	1469.27	0
2020	14	Marv	1617.07	0
2020	14	Ritz	1492.05	0
2020	14	Simi	1412.36	0
2020	14	Tommy	1422.04	0
2020	15	Benni	1572.43	1
2020	15	Erik	1489.91	1
2020	15	Juschka	1543.16	1
2020	15	Kessi	1478.08	1
2020	15	Marv	1608.26	1
2020	15	Ritz	1506.93	1
2020	15	Simi	1394.07	1
2020	15	Tommy	1407.17	1
2020	16	Benni	1545.43	1
2020	16	Erik	1468.99	1
2020	16	Juschka	1564.50	1
2020	16	Kessi	1505.08	1
2020	16	Marv	1586.92	1
2020	16	Ritz	1527.85	1
2020	16	Simi	1373.44	1
2020	16	Tommy	1427.80	1
2021	1	Benni	1518.12	0
2021	1	Erik	1486.85	0
2021	1	Juschka	1527.02	0
2021	1	Kessi	1525.16	0
2021	1	Marv	1581.14	0
2021	1	Ritz	1534.46	0
2021	1	Simi	1391.51	0
2021	1	Tommy	1435.74	0
2021	2	Benni	1536.37	0
2021	2	Erik	1512.15	0
2021	2	Juschka	1541.88	0
2021	2	Kessi	1537.83	0
2021	2	Marv	1555.84	0
2021	2	Ritz	1516.21	0
2021	2	Simi	1378.85	0
2021	2	Tommy	1420.88	0
2021	3	Benni	1554.98	0
2021	3	Erik	1493.54	0
2021	3	Juschka	1547.08	0
2021	3	Kessi	1556.58	0
2021	3	Marv	1550.64	0
2021	3	Ritz	1497.45	0
2021	3	Simi	1384.45	0
2021	3	Tommy	1415.27	0
2021	4	Benni	1562.64	0
2021	4	Erik	1486.18	0
2021	4	Juschka	1537.94	0
2021	4	Kessi	1563.94	0
2021	4	Marv	1534.20	0
2021	4	Ritz	1506.59	0
2021	4	Simi	1376.78	0
2021	4	Tommy	1431.71	0
2021	5	Benni	1539.67	0
2021	5	Erik	1492.05	0
2021	5	Juschka	1545.43	0
2021	5	Kessi	1552.82	0
2021	5	Marv	1545.32	0
2021	5	Ritz	1500.73	0
2021	5	Simi	1369.29	0
2021	5	Tommy	1454.68	0
2021	6	Benni	1560.00	0
2021	6	Erik	1473.38	0
2021	6	Juschka	1525.10	0
2021	6	Kessi	1567.32	0
2021	6	Marv	1555.61	0
2021	6	Ritz	1490.45	0
