block_id,week,teams,players,values
172,5,colin's edelmaenner,Alfred Blue · RB · HOU,
173,5,colin's edelmaenner|oG United,DeMarco Murray · RB · PHI; Rishard Matthews · WR · MIA; Jordan Reed · TE · WAS; Julian Edelman · WR · NE; Julius Thomas · TE · FA; DeMarco Murray · RB · PHI; Rishard Matthews · WR · MIA; Jordan Reed · TE · WAS; Julian Edelman · WR · NE; Julius Thomas · TE · FA,28.95;-28.95
174,5,colin's edelmaenner,Marcus Mariota · QB · TEN; Buffalo Bills · DEF · BUF,
175,5,Die Punter|Kessinho10,Ameer Abdullah · RB · DET; Tyler Eifert · TE · CIN; Ameer Abdullah · RB · DET; Tyler Eifert · TE · CIN,-40.8;40.8
176,5,WhoDatNation,Vincent Jackson · WR · TB; Danny Woodhead · RB · LAC,-26.03
177,5,WhoDatNation,Baltimore Ravens · DEF · BAL; New York Giants · DEF · NYG,
178,5,Fetti EV,Delanie Walker · TE · TEN; Jordan Cameron · TE · MIA,51.6
179,5,WhoDatNation,New York Giants · DEF · NYG; Tennessee Titans · DEF · TEN,
180,5,oG United,Darren McFadden · RB · DAL,16.8
181,5,Die Punter,Atlanta Falcons · DEF · ATL; Houston Texans · DEF · HOU,-11.25
182,5,WhoDatNation,Chris Johnson · RB · ARI; Isaiah Crowell · RB · CLE,
183,5,Promille Boords,Tavon Austin · WR · LAR; DeAngelo Williams · RB · PIT,-38.78
184,5,Fetti EV,Ronnie Hillman · RB · DEN; C.J. Anderson · RB · DEN,
185,5,oG United,Dan Carpenter · K · BUF,
186,4,WhoDatNation,Tennessee Titans · DEF · TEN; James Starks · RB · GB,
187,4,oG United,Los Angeles Rams · DEF · LAR; Marcus Mariota · QB · TEN,0.81
188,4,Fetti EV,Green Bay Packers · DEF · GB; Los Angeles Rams · DEF · LAR,-0.81
189,4,Die Punter|Kessinho10,Tyler Eifert · TE · CIN; Ameer Abdullah · RB · DET; Tyler Eifert · TE · CIN; Ameer Abdullah · RB · DET,48.75;-48.75
190,4,oG United,Rishard Matthews · WR · MIA; Miami Dolphins · DEF · MIA,
191,4,oG United,Marcus Mariota · QB · TEN; Philip Rivers · QB · LAC,
192,4,oG United,Dan Carpenter · K · BUF; Stevie Johnson · WR · LAC,
193,4,Promille Boords,Brandon McManus · K · DEN; Randy Bullock · K · HOU,
194,4,Kessinho10,Golden Tate · WR · DET; Danny Woodhead · RB · LAC,-35.59
195,4,oG United,Jordan Reed · TE · WAS; Tony Romo · QB · DAL,43.47
