Season,Week,Points.11,TE,BN.1,RB,Points.1,WR.1,K,BN.4,Points.14,Points.20,BN.13,BN.3,Opponent Total,Points.10,BN.10,Points.7,Points.18,Total,Points.5,WR,Rank,Points.8,BN.5,Points.16,BN.7,Points.17,Points.15,Points.21,Points.22,Owner,BN.9,RES.1,BN.11,Points.3,BN,Points,Points.13,BN.2,Points.12,Points.2,QB,Points.4,RES,Opponent,DEF,Points.9,BN.6,BN.8,Points.19,W/R,RB.1,BN.12,Points.6
2024,16,0.0,G. Kittle TE - SF,Z. Ertz TE - WAS,T. Pollard RB - TEN,6.0,C. Kupp WR - SEA,B. Aubrey K - DAL,D. Montgomery RB - DET,0.0,,,M. Valdes-Scantling WR - SF,112.38,1.2,,23.8,,134.7,10.6,J. Chase WR - CIN,1,7.0,J. Waddle WR - MIA,,,,0.0,,,Kessi,,,,16.4,N. Harris RB - LAC,23.7,0.0,T. Benson RB - ARI,0.0,39.8,P. Mahomes QB - KC,2.4,,Tommy,Eagles DEF,4.2,C. Olave WR - NO,,,C. Sutton WR - DEN,J. Taylor RB - IND,,5.0
2024,16,9.9,T. Kelce TE - KC,T. Dell WR - HOU,S. Barkley RB - PHI,27.0,N. Collins WR - HOU,C. Dicker K - LAC,D. Smith WR - PHI,0.0,,,R. Dowdle RB - CAR,134.7,15.8,,11.4,,112.38,3.0,A. St. Brown WR - DET,6,3.0,A. Kamara RB - NO,,,,,,,Tommy,,,,13.0,K. Allen WR - LAC,20.48,5.1,B. Bowers TE - LV,5.1,9.3,L. Jackson QB - BAL,6.0,,Kessi,Seahawks DEF,20.1,,,,B. Thomas WR - JAX,A. Jones RB - MIN,,19.2
2024,16,11.3,J. Smith TE - PIT,D. Samuel WR - WAS,D. Henry RB - BAL,18.9,M. Evans WR - TB,C. Boswell K - PIT,D. Moore WR - CHI,0.0,,,J. Reed WR - GB,130.58,18.1,,7.1,,126.14,6.2,C. Lamb WR - DAL,3,6.0,T. Tebow TE,,,,,,,Simi,,,,10.5,J. Herbert QB - LAC,25.34,7.0,R. Stevenson RB - NE,8.1,16.7,J. Goff QB - DET,6.9,,Ritz,Vikings DEF,22.16,,,,C. Hubbard RB - CAR,J. Jacobs RB - GB,,28.5
2024,16,5.9,M. Andrews TE - BAL,L. McConkey WR - LAC,B. Irving RB - TB,15.2,T. Hill WR - MIA,C. Ryland K - ARI,A. Cooper WR,0.0,,,I. Pacheco RB - KC,126.14,8.7,,16.6,,130.58,9.8,D. Metcalf WR - PIT,2,18.0,I. Guerendo RB - SF,,,,,,,Ritz,,,,11.7,S. LaPorta TE - DET,21.98,1.0,K. Walker RB - SEA,2.5,18.9,J. Burrow QB - CIN,8.9,,Simi,Bengals DEF,10.3,,,,J. Addison WR - MIN,K. Williams RB - LAR,,9.5
2024,16,7.0,T. McBride TE - ARI,J. Ford RB - CLE,J. Mixon RB - HOU,7.1,P. Nacua WR - LAR,J. Bates K - DET,Z. Charbonnet RB - SEA,0.0,,,K. Miller RB - NO,125.32,19.1,,10.4,,92.32,2.0,J. Jennings WR - SF,8,25.0,C. McCaffrey RB - SF,,,,0.0,,,Erik,,,,5.1,K. Murray QB - ARI,22.32,1.3,Commanders DEF,3.1,10.9,B. Mayfield QB - TB,5.6,,Juschka,Falcons DEF,20.38,G. Pickens WR - DAL,,,M. Harrison WR - ARI,C. Brown RB - CIN,,3.9
2024,16,5.3,D. Kincaid TE - BUF,G. Wilson WR - NYJ,J. Conner RB - ARI,22.6,J. Jefferson WR - MIN,J. Sanders K - MIA,M. Pittman WR - IND,1.2,,,T. Etienne RB - JAX,92.32,5.4,,23.7,,125.32,1.5,D. London WR - ATL,4,-1.0,I. Davis RB - NYJ,,,,,,,Juschka,,,,5.9,N. Westbrook-Ikhine WR - MIA,21.12,1.9,D. Swift RB - CHI,3.7,25.0,B. Purdy QB - SF,26.4,,Erik,Cardinals DEF,7.7,,,,B. Robinson RB - SF,D. Achane RB - MIA,,0.1
2025,1,6.8,G. Kittle TE - SF,J. Croskey-Merritt RB - WAS,J. Taylor RB - IND,9.8,M. Nabers WR - NYG,C. Ryland K - ARI,T. Hunter WR - JAX,2.6,,,N. Chubb RB - HOU,86.38,14.2,,11.2,,98.82,8.5,J. Jefferson WR - MIN,3,14.0,J. Williams WR - DET,,,,,,,Benni,,,,10.8,E. Egbuka WR - TB,20.12,3.3,T. McMillan WR - CAR,6.0,10.4,J. Daniels QB - WAS,7.1,,Simi,Broncos DEF,19.6,,,,R. Harvey RB - DEN,J. Conner RB - ARI,,6.9
2025,1,6.9,T. Hockenson TE - MIN,Z. Charbonnet RB - SEA,J. Gibbs RB - DET,5.0,T. Hill WR - MIA,C. Boswell K - PIT,R. Rice WR - KC,0.0,,,R. White RB - TB,98.82,10.7,,15.6,,86.38,1.5,B. Thomas WR - JAX,5,3.0,J. Addison WR - MIN,,,,,,,Simi,,,,8.0,Z. Flowers WR - BAL,24.28,0.0,T. Pollard RB - TEN,1.6,10.5,J. Hurts QB - PHI,4.0,,Benni,Eagles DEF,21.1,,,,B. Hall RB - NYJ,B. Irving RB - TB,,14.5
2025,1,6.4,B. Bowers TE - LV,C. Sutton WR - DEN,D. Henry RB - BAL,28.2,T. Higgins WR - CIN,B. Aubrey K - DAL,Q. Judkins RB - CLE,0.0,,,R. Stevenson RB - NE,92.82,12.1,,11.4,,99.82,10.3,A. St. Brown WR - DET,2,2.0,J. Mixon RB - HOU,,,,,,,Kessi,,,,4.5,J. Dobbins RB - DEN,26.02,0.0,K. Shakir WR - BUF,2.7,11.1,P. Mahomes QB - KC,3.3,,Tommy,Buccaneers DEF,12.8,,,,J. Waddle WR - MIA,C. Brown RB - CIN,,3.0
2025,1,8.3,T. McBride TE - ARI,R. Odunze WR - CHI,S. Barkley RB - PHI,14.4,T. McLaurin WR - WAS,T. Loop K - BAL,G. Pickens WR - DAL,0.0,,,T. Warren TE - IND,99.82,9.7,,14.1,,92.82,6.1,A. Brown WR - PHI,4,9.0,B. Aiyuk WR - SF,,,,,,,Tommy,,,,0.8,A. Jones RB - MIN,27.92,3.0,D. Metcalf WR - PIT,7.9,13.5,J. Herbert QB - LAC,2.7,,Kessi,49ers DEF,12.7,,,,D. Montgomery RB - DET,D. Achane RB - MIA,,4.3
