season,team,wins,losses,ties,points_for,points_against,points_share_avg,opp_points_share_avg,high_scores,top_scores,top_half_scores,worst_scores,bottom_scores,bottom_half_scores,blowout_wins,blowout_losses,narrow_wins,narrow_losses,all_play_wins,all_play_losses,games,win_pct,all_play_win_pct,winning_record,losing_record,sos_avg_opp_points
2019,Kessi,5,9,0,1326.16,1453.56,0.4690339178418707,0.5309660821581292,1,3,6,4,7,8,1,4,1,2,37.0,61.0,14,0.35714285714285715,0.37755102040816324,False,True,1423.2571428571428
2019,Marv,10,4,0,1592.86,1359.52,0.5407017547557333,0.45929824524426666,4,9,9,1,3,5,7,2,0,0,66.0,32.0,14,0.7142857142857143,0.673469387755102,True,False,1385.1571428571428
2019,Ritz,5,9,0,1323.2,1440.42,0.48159117665036827,0.5184088233496318,0,3,6,1,6,8,2,4,0,2,43.0,55.0,14,0.35714285714285715,0.4387755102040816,False,True,1423.68
2019,Simi,6,8,0,1276.42,1442.3,0.4716949660401375,0.5283050339598625,0,5,6,3,7,8,2,5,2,0,39.0,59.0,14,0.42857142857142855,0.3979591836734694,False,True,1430.3628571428574
2019,Tommy,6,8,0,1410.56,1417.26,0.5058598067401593,0.4941401932598407,0,6,6,0,6,8,2,1,0,1,49.0,49.0,14,0.42857142857142855,0.5,False,True,1411.2
2020,Benni,8,6,0,1564.04,1401.4,0.5292985743389113,0.47070142566108875,3,6,9,0,3,5,4,1,0,2,61.0,37.0,14,0.5714285714285714,0.6224489795918368,True,False,1421.462857142857
2020,Erik,5,9,0,1383.96,1478.8,0.48081102832172384,0.5191889716782762,1,4,5,3,7,9,2,4,2,0,41.0,57.0,14,0.35714285714285715,0.41836734693877553,False,True,1447.1885714285713
2020,Juschka,9,5,0,1551.7,1388.32,0.5306258557621225,0.46937414423787743,2,10,12,2,2,2,6,2,0,1,68.0,30.0,14,0.6428571428571429,0.6938775510204082,True,False,1423.2257142857143
2020,Kessi,7,7,0,1422.02,1349.1,0.515365624517209,0.4846343754827909,2,4,6,1,6,8,4,2,0,0,46.0,52.0,14,0.5,0.46938775510204084,False,False,1441.7514285714285
2020,Marv,12,2,0,1664.6200000000001,1429.72,0.5369363460835815,0.4630636539164185,5,10,12,0,1,2,4,1,1,0,74.0,24.0,14,0.8571428571428571,0.7551020408163265,True,False,1407.0942857142857
2020,Ritz,7,7,0,1380.24,1465.68,0.4853386670510969,0.5146613329489031,1,4,6,2,7,8,1,3,1,0,41.0,57.0,14,0.5,0.41836734693877553,False,False,1447.72
2020,Simi,4,10,0,1315.12,1489.1,0.470380374064502,0.529619625935498,0,4,6,2,8,8,1,4,0,1,38.0,60.0,14,0.2857142857142857,0.3877551020408163,False,True,1457.0228571428572
2020,Tommy,4,10,0,1232.58,1512.16,0.4512435298608529,0.5487564701391471,0,0,0,4,8,14,0,5,2,2,23.0,75.0,14,0.2857142857142857,0.23469387755102042,False,True,1468.814285714286
2021,Benni,9,5,0,1577.46,1385.6,0.5354778256107329,0.4645221743892672,3,8,10,0,3,4,5,1,0,0,66.0,32.0,14,0.6428571428571429,0.673469387755102,True,False,1428.0914285714284
2021,Erik,10,4,0,1384.5,1275.22,0.524395496893966,0.4756045031060339,0,3,6,1,4,8,3,1,2,0,46.0,52.0,14,0.7142857142857143,0.46938775510204084,True,False,1455.6571428571428
2021,Juschka,4,10,0,1425.36,1555.8,0.4797948989607522,0.5202051010392478,0,5,7,2,5,7,1,3,1,0,46.0,52.0,14,0.2857142857142857,0.46938775510204084,False,True,1449.82
2021,Kessi,7,7,0,1505.58,1458.56,0.5050381882871148,0.4949618117128853,4,7,7,1,6,7,5,3,0,1,53.0,45.0,14,0.5,0.5408163265306123,False,False,1438.3600000000001
2021,Marv,7,7,0,1351.2,1383.04,0.48910817940225043,0.5108918205977495,1,5,7,4,6,7,2,3,1,1,42.0,56.0,14,0.5,0.42857142857142855,False,False,1460.4142857142856
2021,Ritz,7,7,0,1540.12,1490.18,0.5080121013438459,0.49198789865615405,4,7,9,2,5,5,4,3,0,2,58.0,40.0,14,0.5,0.5918367346938775,False,False,1433.4257142857143
2021,Simi,5,9,0,1381.16,1561.62,0.4692972425752699,0.53070275742473,1,3,5,2,6,9,1,6,1,1,40.0,58.0,14,0.35714285714285715,0.40816326530612246,False,True,1456.1342857142859
2021,Tommy,7,7,0,1408.72,1464.08,0.4888760669260678,0.5111239330739322,1,4,5,2,7,9,1,2,2,2,41.0,57.0,14,0.5,0.41836734693877553,False,False,1452.1971428571428
2022,Benni,10,4,0,1686.9199999999998,1346.9,0.5549524383992833,0.4450475616007167,8,10,10,1,4,4,6,1,0,2,73.0,25.0,14,0.7142857142857143,0.7448979591836735,True,False,1379.0085714285713
2022,Erik,8,6,0,1513.02,1452.82,0.5102281841265427,0.4897718158734573,2,5,10,1,3,4,2,3,1,0,58.0,40.0,14,0.5714285714285714,0.5918367346938775,True,False,1403.8514285714284
