#,Player,Pos,Team,TTL,VORP
116,Clark Harris,TE,FA,0,0
150,Boston Scott,RB,FA,0,0
150,Shane Smith,RB,FA,0,0
150,Godwin Igwebuike,RB,FA,0,0
150,De'Angelo Henderson Sr.,RB,FA,0,0
150,Ryan Hewitt,RB,FA,0,0
150,Taiwan Jones,RB,FA,0,0
150,Darius Jackson,RB,FA,0,0
150,Senorise Perry,RB,FA,0,0
150,Trey Edmunds,RB,FA,0,0
150,Dalyn Dawkins,RB,FA,0,0
150,Travaris Cadet,RB,FA,0,0
150,Thomas Rawls,RB,FA,0,0
150,Jeremy Langford,RB,FA,0,0
150,Joe Williams,RB,FA,0,0
150,Patrick Ricard,RB,BAL,0,0
150,Dare Ogunbowale,RB,HOU,0,0
150,Buddy Howell,RB,FA,0,0
150,Tra Carson,RB,FA,0,0
150,Matt Dayes,RB,FA,0,0
150,Lavon Coleman,RB,FA,0,0
150,Donnie Ernsberger,RB,FA,0,0
200,Mike Wallace,WR,FA,0,0
200,Deante Burton,WR,FA,0,0
200,Tanner McEvoy,WR,FA,0,0
200,Saeed Blacknall,WR,FA,0,0
200,Matthew Slater,WR,FA,0,0
200,Stacy Coley,WR,FA,0,0
200,River Cracraft,WR,WAS,0,0
200,Cam Sims,WR,FA,0,0
200,Markus Wheaton,WR,FA,0,0
200,Mike Thomas,WR,FA,0,0
200,Freddie Martino,WR,FA,0,0
200,Janarion Grant,WR,FA,0,0
200,Geremy Davis,WR,FA,0,0
200,Jaydon Mickens,WR,FA,0,0
221,Duron Carter,WR,FA,0,0
221,Malachi Dupre,WR,FA,0,0
221,Johnny Holton,WR,FA,0,0
221,Alonzo Russell,WR,FA,0,0
221,Brandon Tate,WR,FA,0,0
221,Javon Wims,WR,FA,0,0
221,Keenan Reynolds,WR,FA,0,0
221,Bradley Marquez,WR,FA,0,0
221,Mose Frazier,WR,FA,0,0
221,Steven Mitchell Jr.,WR,FA,0,0
221,Chris Lacy,WR,FA,0,0
221,Daurice Fountain,WR,FA,0,0
221,Trevor Davis,WR,FA,0,0
221,Allen Lazard,WR,NYJ,0,0
221,Da'Mari Scott,WR,FA,0,0
221,Lance Lenoir Jr.,WR,FA,0,0
221,Steven Dunbar Jr.,WR,FA,0,0
221,Gehrig Dieter,WR,FA,0,0
221,Darvin Kidsy,WR,FA,0,0
221,Pharoh Cooper,WR,FA,0,0
221,Quadree Henderson,WR,FA,0,0
221,Isaiah Ford,WR,FA,0,0
68,Sean Mannion,QB,FA,-0.1,0
68,Brandon Weeden,QB,FA,-0.1,0
68,Chad Kelly,QB,FA,-0.1,0
71,Brian Hoyer,QB,FA,-0.2,0
214,Jehu Chesson,WR,FA,-0.4,0
72,Jacoby Brissett,QB,ARI,-0.6,0
73,Teddy Bridgewater,QB,TB,-0.7,0
171,Robert Turbin,RB,FA,-0.7,0
215,J'Mon Moore,WR,FA,-1,0
216,Rod Streater,WR,FA,-1.1,0
74,DeShone Kizer,QB,FA,-1.9,0
217,JoJo Natson,WR,FA,-2,0
217,Riley McCarron,WR,FA,-2,0
217,J.J. Jones,WR,FA,-2,0
217,Kaelin Clay,WR,FA,-2,0
75,Kyle Lauletta,QB,FA,-2.2,0
