#,Player,Pos,Team,TTL,VORP
54,Richard Rodgers,TE,FA,22,0
118,Geronimo Allison,WR,FA,21.8,0
90,Travaris Cadet,RB,FA,21.5,0
119,Braxton Miller,WR,FA,21.4,0
55,Demetrius Harris,TE,FA,21.1,0
56,James O'Shaughnessy,TE,FA,20.9,0
91,Thomas Rawls,RB,FA,20.3,0
57,Nick Boyle,TE,FA,19.9,0
120,Tyler Boyd,WR,FA,19.4,0
58,Troy Niklas,TE,FA,19.2,0
39,Younghoe Koo,K,NYG,19,0
121,Tommylee Lewis,WR,FA,19,0
122,Eli Rogers,WR,FA,18.8,0
59,Nick Vannett,TE,LAR,18.4,0
123,Laquon Treadwell,WR,IND,18.4,0
92,Elijhaa Penny,RB,FA,18.3,0
60,Levine Toilolo,TE,FA,18.2,0
124,Demarcus Robinson,WR,SF,18.1,0
125,Curtis Samuel,WR,BUF,17.9,0
61,Brent Celek,TE,FA,17.7,0
126,Jaydon Mickens,WR,FA,17.7,0
127,Chris Conley,WR,FA,17.5,0
127,Louis Murphy,WR,FA,17.5,0
127,Phillip Dorsett II,WR,LV,17.5,0
62,Eric Tomlinson,TE,FA,17.1,0
93,Robert Turbin,RB,FA,16.9,0
94,Kapri Bibbs,RB,FA,16.7,0
63,Anthony Fasano,TE,FA,16.6,0
47,Bryce Petty,QB,FA,16.1,0
95,Kenjon Barner,RB,FA,16.1,0
96,Chris Johnson,RB,FA,15.7,0
130,Brandon Marshall,WR,FA,15.4,0
131,Josh Reynolds,WR,NYJ,14.8,0
64,Dwayne Allen,TE,FA,14.6,0
65,C.J. Uzomah,TE,FA,14.5,0
97,James Conner,RB,ARI,14.4,0
132,Tre McBride III,WR,FA,14.4,0
48,E.J. Manuel,QB,FA,14.1,0
98,Cameron Artis-Payne,RB,FA,14.1,0
133,Brandon Tate,WR,FA,14.1,0
99,Jamize Olawale,RB,FA,13.6,0
66,James Hanna,TE,FA,13.5,0
100,C.J. Ham,RB,MIN,13.5,0
67,Maxx Williams,TE,FA,13.2,0
101,D.J. Foster,RB,FA,13.2,0
102,Jeremy Hill,RB,FA,13.2,0
134,Kamar Aiken,WR,FA,13.1,0
40,Caleb Sturgis,K,FA,13,0
103,Patrick Ricard,RB,BAL,13,0
68,Daniel Brown,TE,FA,12.9,0
68,Josh Hill,TE,FA,12.9,0
70,Logan Thomas,TE,FA,12.7,0
70,C.J. Fiedorowicz,TE,FA,12.7,0
135,Josh Malone,WR,FA,12.5,0
104,Terron Ward,RB,FA,12.3,0
105,Roosevelt Nix,RB,FA,12.2,0
136,Maurice Harris,WR,FA,12.2,0
72,Brandon Williams,TE,FA,12.1,0
73,David Morgan II,TE,FA,12,0
137,Marvin Hall,WR,FA,12,0
106,Paul Perkins,RB,FA,11.8,0
107,Fozzy Whittaker,RB,FA,11.6,0
108,Darren Sproles,RB,FA,11.4,0
74,Michael Hoomanawanui,TE,FA,11.2,0
109,C.J. Prosise,RB,FA,11,0
110,Trey Edmunds,RB,FA,10.8,0
111,Andy Janovich,RB,FA,10.7,0
49,Nathan Peterman,QB,FA,10.4,0
75,Austin Traylor,TE,FA,10,0
50,Ryan Mallett,QB,FA,9.9,0
76,Phillip Supernaw,TE,FA,9.9,0
77,Niles Paul,TE,FA,9.8,0
138,Jaelen Strong,WR,FA,9.8,0
51,Geno Smith,QB,LV,9.7,0
78,Jerell Adams,TE,FA,9.2,0
139,Brenton Bersin,WR,FA,9.2,0
79,Xavier Grimble,TE,FA,9,0
112,Branden Oliver,RB,FA,9,0
140,Freddie Martino,WR,FA,8.7,0
140,Mike Williams,WR,FA,8.7,0
113,Zach Zenner,RB,FA,8.6,0
142,Kasen Williams,WR,FA,8.4,0
143,Justin Hunter,WR,FA,8.3,0
144,Bobo Wilson,WR,FA,8.2,0
80,Clive Walford,TE,FA,8,0
145,Chad Hansen,WR,FA,7.9,0
146,Kaelin Clay,WR,FA,7.9,0
81,Luke Stocker,TE,FA,7.8,0
147,Michael Floyd,WR,FA,7.8,0
148,Breshad Perriman,WR,FA,7.7,0
148,Jordan Taylor,WR,FA,7.7,0
82,Lee Smith,TE,FA,7.6,0
82,Ross Travis,TE,FA,7.6,0
150,Brian Quick,WR,FA,7.6,0
84,Jeremy Sprinkle,TE,FA,7.3,0
114,Brian Hill,RB,FA,7.3,0
151,Tanner McEvoy,WR,FA,7.3,0
152,Willie Snead IV,WR,FA,7.2,0
153,Travis Rudolph,WR,FA,7.2,0
115,David Johnson,RB,FA,7,0
154,Sammie Coates,WR,FA,7,0
154,Brittan Golden,WR,FA,7,0
156,Leonte Carroo,WR,FA,6.9,0
116,Byron Marshall,RB,FA,6.8,0
157,Amara Darboh,WR,FA,6.6,0
117,Tre Madden,RB,FA,6.5,0
158,Bryce Treggs,WR,FA,6.5,0
118,Jalston Fowler,RB,FA,6.4,0
159,Chad Williams,WR,FA,6.4,0
160,ArDarius Stewart,WR,FA,6.3,0
161,Vince Mayle,WR,FA,6.2,0
85,Derek Carrier,TE,FA,6.1,0
86,Ben Koyack,TE,FA,5.8,0
119,Dwayne Washington,RB,FA,5.8,0
120,Derek Watt,RB,FA,5.7,0
87,Orson Charles,TE,FA,5.3,0
121,Aaron Ripkowski,RB,FA,5.2,0
162,Markus Wheaton,WR,FA,5.1,0
122,Tyler Ervin,RB,FA,5,0
163,Darrius Heyward-Bey,WR,FA,5,0
52,Joe Webb III,QB,FA,4.8,0
88,Alan Cross,TE,FA,4.7,0
88,Jacob Hollister,TE,FA,4.7,0
90,Tyler Eifert,TE,FA,4.6,0
90,Michael Roberts,TE,FA,4.6,0
90,Sean McGrath,TE,FA,4.6,0
90,Ifeanyi Momah,TE,FA,4.6,0
164,Jared Abbrederis,WR,FA,4.4,0
123,Matt Dayes,RB,FA,4.2,0
124,Mack Brown,RB,FA,4,0
165,Pharoh Cooper,WR,FA,4,0
94,Blake Bell,TE,FA,3.9,0
166,Quan Bray,WR,FA,3.9,0
95,Will Tye,TE,FA,3.8,0
125,James Develin,RB,FA,3.8,0
167,Bernard Reedy,WR,FA,3.8,0
96,Randall Telfer,TE,FA,3.6,0
168,Michael Clark,WR,FA,3.6,0
169,Tanner Gentry,WR,FA,3.5,0
170,Noah Brown,WR,WAS,3.3,0
170,JoJo Natson,WR,FA,3.3,0
126,Lance Dunbar,RB,FA,3.1,0
41,Sam Ficken,K,FA,3,0
172,Chris Thompson,WR,FA,3,0
172,Nick Williams,WR,FA,3,0
53,Cody Kessler,QB,FA,2.9,0
127,Derrick Coleman,RB,FA,2.8,0
127,Zach Line,RB,FA,2.8,0
127,Stevan Ridley,RB,FA,2.8,0
174,Jamal Agnew,WR,ATL,2.7,0
175,Trevor Davis,WR,FA,2.7,0
54,AJ McCarron,QB,FA,2.6,0
97,Darrell Daniels,TE,FA,2.6,0
130,Anthony Sherman,RB,FA,2.6,0
130,Keith Smith,RB,FA,2.6,0
176,Jordan Leslie,WR,FA,2.6,0
55,Matt Cassel,QB,FA,2.5,0
98,Geoff Swaim,TE,FA,2.5,0
98,Antony Auclair,TE,FA,2.5,0
132,Andre Williams,RB,FA,2.5,0
132,Akeem Hunt,RB,FA,2.5,0
177,Chris Matthews,WR,FA,2.5,0
177,Hunter Sharp,WR,FA,2.5,0
179,DeAndrew White,WR,FA,2.4,0
180,Griff Whalen,WR,FA,2.3,0
100,MarQueis Gray,TE,FA,2.2,0
134,Senorise Perry,RB,FA,2.2,0
134,Ryan Hewitt,RB,FA,2.2,0
134,Jay Prosch,RB,FA,2.2,0
134,Patrick DiMarco,RB,FA,2.2,0
181,Marcus Johnson,WR,FA,2.2,0
138,Josh Ferguson,RB,FA,2.1,0
138,David Fluellen,RB,FA,2.1,0
138,Brandon Bolden,RB,FA,2.1,0
141,Bobby Rainey,RB,FA,2,0
